InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Revenue
C536472,10077,GARDEN TOOL SET MINI,-2,2023-12-18 00:00,32.07,C10437,Germany,Garden,-64.14
C536472,10060,CLAY MODELLING KIT BLUE,-12,2023-12-18 00:00,12.8,C10437,Germany,Toys & Games,-153.60000000000002
C536472,10030,HERB GARDEN PLANTER LARGE,-2,2023-12-18 00:00,9.12,C10437,Germany,Kitchen,-18.24
C536495,10005,HANGING HEART DECORATION GREEN,-2,2024-03-26 00:00,5.41,C10386,United Kingdom,Home Decor,-10.82
C536543,10056,CARD GAME FAMILY FUN SMALL,-5,2023-12-05 00:00,23.59,C12357,United Kingdom,Toys & Games,-117.95
C536702,10049,RETRO TIN TOY CAR LARGE,-5,2023-11-27 00:00,6.01,C10618,United Kingdom,Toys & Games,-30.05
C536705,10018,SCENTED REED DIFFUSER GREEN,-11,2024-03-16 00:00,12.87,C12306,United Kingdom,Home Decor,-141.57
C536864,10017,SCENTED REED DIFFUSER,-9,2023-11-26 00:00,9.4,C11921,United Kingdom,Home Decor,-84.60000000000001
C536864,10055,CARD GAME FAMILY FUN LARGE,-8,2023-11-26 00:00,7.13,C11921,United Kingdom,Toys & Games,-57.04
C536864,10048,WOODEN PUZZLE ANIMALS SMALL,-3,2023-11-26 00:00,22.46,C11921,United Kingdom,Toys & Games,-67.38
C536864,10054,PLUSH BEAR COLLECTION RED,-3,2023-11-26 00:00,19.88,C11921,United Kingdom,Toys & Games,-59.64
C536864,10066,DESK ORGANISER BAMBOO RED,-4,2023-11-26 00:00,7.74,C11921,United Kingdom,Stationery,-30.96
C536864,10007,WOODEN PHOTO FRAME LARGE,-9,2023-11-26 00:00,11.27,C11921,United Kingdom,Home Decor,-101.43
C536864,10013,STRING LIGHT GARLAND SMALL,-9,2023-11-26 00:00,6.71,C11921,United Kingdom,Home Decor,-60.39
C536864,10071,WASHI TAPE COLLECTION GREEN,-12,2023-11-26 00:00,3.87,C11921,United Kingdom,Stationery,-46.44
C536864,10042,THANK YOU CARDS PACK 10 LARGE,-2,2023-11-26 00:00,6.35,C11921,United Kingdom,Gifts & Cards,-12.7
C536864,10060,CLAY MODELLING KIT BLUE,-2,2023-11-26 00:00,12.8,C11921,United Kingdom,Toys & Games,-25.6
C536864,10065,STICKY NOTE PADS PACK SMALL,-3,2023-11-26 00:00,4.14,C11921,United Kingdom,Stationery,-12.419999999999998
