CustomerID,Recency,Frequency,Monetary,AvgOrderValue,NumCategories,FirstPurchase,LastPurchase,CustomerAge,AvgSentiment,Cluster,Segment
C10000,204,5,1540.61,110.04,6,2023-03-25,2024-05-11,413,0.3738090909090909,0,Lost / Inactive
C10001,18,4,1499.75,124.98,7,2023-07-21,2024-11-13,481,0.41025,0,Lost / Inactive
C10002,51,10,6059.93,168.33,7,2023-03-02,2024-10-11,589,0.3763423076923077,0,Lost / Inactive
C10003,149,2,1390.73,231.79,5,2022-12-25,2024-07-05,558,0.2263,0,Lost / Inactive
C10004,108,5,1880.07,144.62,6,2022-12-10,2024-08-15,614,0.3550083333333333,0,Lost / Inactive
C10006,195,5,2706.0,135.3,5,2022-12-15,2024-05-20,522,0.22634666666666667,0,Lost / Inactive
C10007,19,13,5545.98,138.65,7,2022-12-13,2024-11-12,700,0.4297333333333333,0,Lost / Inactive
C10008,611,1,1037.73,259.43,4,2023-03-31,2023-03-31,0,0.7567,0,Lost / Inactive
C10009,392,1,115.83,115.83,1,2023-11-05,2023-11-05,0,-0.5873,0,Lost / Inactive
C10010,186,2,919.41,57.46,5,2024-03-12,2024-05-29,78,0.35837142857142856,0,Lost / Inactive
C10011,187,3,634.56,211.52,3,2022-12-21,2024-05-28,524,0.0,0,Lost / Inactive
C10012,120,4,2684.12,141.27,7,2023-09-28,2024-08-03,310,0.33141818181818183,0,Lost / Inactive
C10013,74,1,103.63,51.82,2,2024-09-18,2024-09-18,0,-0.20494999999999997,0,Lost / Inactive
C10015,9,4,1434.33,143.43,6,2022-12-18,2024-11-22,705,0.3611,0,Lost / Inactive
C10017,189,3,2074.6,148.19,7,2023-04-06,2024-05-26,416,0.5149777777777778,0,Lost / Inactive
C10018,4,5,2666.33,148.13,7,2023-09-02,2024-11-27,452,0.22521666666666665,0,Lost / Inactive
C10019,125,6,2456.69,163.78,7,2023-04-27,2024-07-29,459,0.6306875000000001,0,Lost / Inactive
C10020,141,2,1521.02,152.1,6,2023-12-11,2024-07-13,215,0.524625,0,Lost / Inactive
C10021,112,1,813.24,116.18,5,2024-08-11,2024-08-11,0,0.53525,0,Lost / Inactive
C10022,4,9,2808.79,156.04,7,2022-12-28,2024-11-27,700,0.49440999999999996,0,Lost / Inactive
