Country,TotalOrders,TotalRevenue,RevenueRank,RevenueShare_Pct,CumulativeRevenue
United Kingdom,21143,15561967.90,1,77.67,15561967.90
Germany,1185,806481.48,2,4.03,16368449.38
France,1021,766413.19,3,3.83,17134862.57
Ireland,882,614737.52,4,3.07,17749600.09
Netherlands,694,497228.36,5,2.48,18246828.45
Other,592,467878.13,6,2.34,18714706.58
Spain,577,426114.48,7,2.13,19140821.06
Australia,480,347583.57,8,1.73,19488404.63
Belgium,455,301206.18,9,1.50,19789610.81
Switzerland,372,246107.67,10,1.23,20035718.48
